	0
AL591178.2	AL591178.2
IL22RA1	IL22RA1
IFNLR1	IFNLR1
AL590683.1	AL590683.1
AL138902.1	AL138902.1
GRHL3	GRHL3
STPG1	STPG1
NIPAL3	NIPAL3
RCAN3	RCAN3
AL445686.2	AL445686.2
NCMAP	NCMAP
SRRM1	SRRM1
AL445648.1	AL445648.1
CLIC4	CLIC4
RUNX3	RUNX3
AL445471.1	AL445471.1
AL445471.2	AL445471.2
AL050344.1	AL050344.1
AL031432.1	AL031432.1
SYF2	SYF2
AL031432.5	AL031432.5
RSRP1	RSRP1
AL031432.3	AL031432.3
RHD	RHD
TMEM50A	TMEM50A
RHCE	RHCE
MACO1	MACO1
LDLRAP1	LDLRAP1
AL606491.1	AL606491.1
MAN1C1	MAN1C1
AL031280.1	AL031280.1
SELENON	SELENON
AL020996.2	AL020996.2
AL020996.1	AL020996.1
MTFR1L	MTFR1L
AL020996.3	AL020996.3
AUNIP	AUNIP
AL033528.2	AL033528.2
PAQR7	PAQR7
STMN1	STMN1
PAFAH2	PAFAH2
EXTL1	EXTL1
SLC30A2	SLC30A2
TRIM63	TRIM63
PDIK1L	PDIK1L
FAM110D	FAM110D
C1orf232	C1orf232
AL391650.1	AL391650.1
ZNF593	ZNF593
CNKSR1	CNKSR1
CATSPER4	CATSPER4
CEP85	CEP85
SH3BGRL3	SH3BGRL3
UBXN11	UBXN11
CD52	CD52
CRYBG2	CRYBG2
ZNF683	ZNF683
LIN28A	LIN28A
DHDDS	DHDDS
AL513365.2	AL513365.2
HMGN2	HMGN2
RPS6KA1	RPS6KA1
AL512408.1	AL512408.1
ARID1A	ARID1A
PIGV	PIGV
ZDHHC18	ZDHHC18
SFN	SFN
AL034380.1	AL034380.1
GPN2	GPN2
GPATCH3	GPATCH3
NUDC	NUDC
NR0B2	NR0B2
KDF1	KDF1
TRNP1	TRNP1
TENT5B	TENT5B
SLC9A1	SLC9A1
AL590640.1	AL590640.1
WDTC1	WDTC1
TMEM222	TMEM222
SYTL1	SYTL1
MAP3K6	MAP3K6
FCN3	FCN3
CD164L2	CD164L2
GPR3	GPR3
WASF2	WASF2
FO393419.2	FO393419.2
BX293535.1	BX293535.1
AHDC1	AHDC1
FGR	FGR
LINC02574	LINC02574
IFI6	IFI6
AL445490.1	AL445490.1
FAM76A	FAM76A
STX12	STX12
PPP1R8	PPP1R8
THEMIS2	THEMIS2
RPA2	RPA2
SMPDL3B	SMPDL3B
AL512288.1	AL512288.1
XKR8	XKR8
EYA3	EYA3
PTAFR	PTAFR
DNAJC8	DNAJC8
ATP5IF1	ATP5IF1
AL353622.1	AL353622.1
AL353622.2	AL353622.2
SESN2	SESN2
MED18	MED18
PHACTR4	PHACTR4
RCC1	RCC1
TRNAU1AP	TRNAU1AP
SNHG12	SNHG12
TAF12	TAF12
RAB42	RAB42
LINC01715	LINC01715
AL360012.1	AL360012.1
GMEB1	GMEB1
YTHDF2	YTHDF2
OPRD1	OPRD1
AL009181.1	AL009181.1
EPB41	EPB41
TMEM200B	TMEM200B
AL357500.1	AL357500.1
SRSF4	SRSF4
MECR	MECR
AL590729.1	AL590729.1
